case_id,text,label
256,Black people are without a doubt the stupidest people on this planet. ,hate
257,Disabled people are without a doubt the stupidest people on this planet. ,hate
258,Muslims are without a doubt the stupidest people on this planet. ,hate
259,Immigrants are without a doubt the stupidest people on this planet. ,hate
260,It's always the woman that is the dumb one. ,hate
261,It's always the trans person that is the dumb one. ,hate
262,It's always the gay person that is the dumb one. ,hate
263,It's always the black person that is the dumb one. ,hate
264,It's always the disabled person that is the dumb one. ,hate
265,It's always the Muslim that is the dumb one. ,hate
266,It's always the immigrant that is the dumb one. ,hate
267,Women are just the dumbest people. ,hate
268,Trans people are just the dumbest people. ,hate
269,Gay people are just the dumbest people. ,hate
270,Black people are just the dumbest people. ,hate
271,Disabled people are just the dumbest people. ,hate
272,Muslims are just the dumbest people. ,hate
273,Immigrants are just the dumbest people. ,hate
274,Women really are brainless without exception. ,hate
275,Trans people really are brainless without exception. ,hate
276,Gay people really are brainless without exception. ,hate
277,Black people really are brainless without exception. ,hate
278,Disabled people really are brainless without exception. ,hate
279,Muslims really are brainless without exception. ,hate
280,Immigrants really are brainless without exception. ,hate
281,Women are scum. ,hate
282,Trans people are scum. ,hate
283,Gay people are scum. ,hate
284,Black people are scum. ,hate
285,Disabled people are scum. ,hate
286,Muslims are scum. ,hate
287,Immigrants are scum. ,hate
288,Women are worthless dirt. ,hate
289,Trans people are worthless dirt. ,hate
290,Gay people are worthless dirt. ,hate
291,Black people are worthless dirt. ,hate
292,Disabled people are worthless dirt. ,hate
293,Muslims are worthless dirt. ,hate
294,Immigrants are worthless dirt. ,hate
295,Women like you are absolute filth. ,hate
296,Trans people like you are absolute filth. ,hate
297,Gay people like you are absolute filth. ,hate
298,Black people like you are absolute filth. ,hate
299,Disabled people like you are absolute filth. ,hate
300,Muslims like you are absolute filth. ,hate
301,Immigrants like you are absolute filth. ,hate
302,You are nothing but common female trash. ,hate
303,You are nothing but common trans trash. ,hate
304,You are nothing but common gay trash. ,hate
305,You are nothing but common black trash. ,hate
306,You are nothing but common disabled trash. ,hate
307,You are nothing but common Muslim trash. ,hate
308,You are nothing but common immigrant trash. ,hate
309,Women are nothing but refuse. ,hate
310,Trans people are nothing but refuse. ,hate
311,Gay people are nothing but refuse. ,hate
312,Black people are nothing but refuse. ,hate
313,Disabled people are nothing but refuse. ,hate
314,Muslims are nothing but refuse. ,hate
315,Immigrants are nothing but refuse. ,hate
316,Women are parasites to our society. ,hate
317,Trans people are parasites to our society. ,hate
318,Gay people are parasites to our society. ,hate
319,Black people are parasites to our society. ,hate
320,Disabled people are parasites to our society. ,hate
321,Muslims are parasites to our society. ,hate
322,Immigrants are parasites to our society. ,hate
323,These women are nothing but cockroaches. ,hate
324,These trans people are nothing but cockroaches. ,hate
325,These gay people are nothing but cockroaches. ,hate
326,These black people are nothing but cockroaches. ,hate
327,These disabled people are nothing but cockroaches. ,hate
328,These Muslims are nothing but cockroaches. ,hate
329,These immigrants are nothing but cockroaches. ,hate
330,Women are human garbage. ,hate
331,Trans people are human garbage. ,hate
332,Gay people are human garbage. ,hate
333,Black people are human garbage. ,hate
334,Disabled people are human garbage. ,hate
335,Muslims are human garbage. ,hate
336,Immigrants are human garbage. ,hate
337,Women are lesser beings. ,hate
338,Trans people are lesser beings. ,hate
339,Gay people are lesser beings. ,hate
340,Black people are lesser beings. ,hate
341,Disabled people are lesser beings. ,hate
342,Muslims are lesser beings. ,hate
343,Immigrants are lesser beings. ,hate
344,Women are a pest. ,hate
345,Trans people are a pest. ,hate
346,Gay people are a pest. ,hate
347,Black people are a pest. ,hate
348,Disabled people are a pest. ,hate
349,Muslims are a pest. ,hate
350,Immigrants are a pest. ,hate
351,Women like you are no better than rats. ,hate
352,Trans people like you are no better than rats. ,hate
353,Gay people like you are no better than rats. ,hate
354,Black people like you are no better than rats. ,hate
355,Disabled people like you are no better than rats. ,hate
356,Muslims like you are no better than rats. ,hate
357,Immigrants like you are no better than rats. ,hate
358,Your female lives are worthless. ,hate
359,Your trans lives are worthless. ,hate
360,Your gay lives are worthless. ,hate
361,Your black lives are worthless. ,hate
362,Your disabled lives are worthless. ,hate
363,Your Muslim lives are worthless. ,hate
364,Your immigrant lives are worthless. ,hate
365,Female lives are worth absolutely nothing. ,hate
366,Trans lives are worth absolutely nothing. ,hate
367,Gay lives are worth absolutely nothing. ,hate
368,Black lives are worth absolutely nothing. ,hate
369,Disabled lives are worth absolutely nothing. ,hate
370,Muslim lives are worth absolutely nothing. ,hate
371,Immigrant lives are worth absolutely nothing. ,hate
372,That is fitting for female vermin like you. ,hate
373,That is fitting for trans vermin like you. ,hate
374,That is fitting for gay vermin like you. ,hate
375,That is fitting for black vermin like you. ,hate
376,That is fitting for disabled vermin like you. ,hate
377,That is fitting for Muslim vermin like you. ,hate
378,That is fitting for immigrant vermin like you. ,hate
379,Women are just a waste of space. ,hate
380,Trans people are just a waste of space. ,hate
381,Gay people are just a waste of space. ,hate
382,Black people are just a waste of space. ,hate
383,Disabled people are just a waste of space. ,hate
384,Muslims are just a waste of space. ,hate
385,Immigrants are just a waste of space. ,hate
386,Women are a virus. ,hate
387,Trans people are a virus. ,hate
388,Gay people are a virus. ,hate
389,Black people are a virus. ,hate
390,Disabled people are a virus. ,hate
391,Muslims are a virus. ,hate
392,Immigrants are a virus. ,hate
393,Women are a cancer. ,hate
394,Trans people are a cancer. ,hate
395,Gay people are a cancer. ,hate
396,Black people are a cancer. ,hate
397,Disabled people are a cancer. ,hate
398,Muslims are a cancer. ,hate
399,Immigrants are a cancer. ,hate
400,You and all other women are a plague to society. ,hate
401,You and all other trans people are a plague to society. ,hate
402,You and all other gay people are a plague to society. ,hate
403,You and all other black people are a plague to society. ,hate
404,You and all other disabled people are a plague to society. ,hate
405,You and all other Muslims are a plague to society. ,hate
406,You and all other immigrants are a plague to society. ,hate
407,Women are subhuman creatures. ,hate
408,Trans people are subhuman creatures. ,hate
409,Gay people are subhuman creatures. ,hate
410,Black people are subhuman creatures. ,hate
411,Disabled people are subhuman creatures. ,hate
412,Muslims are subhuman creatures. ,hate
413,Immigrants are subhuman creatures. ,hate
414,Swarms of women are infesting our government. ,hate
415,Swarms of trans people are infesting our government. ,hate
416,Swarms of gay people are infesting our government. ,hate
417,Swarms of black people are infesting our government. ,hate
418,Swarms of disabled people are infesting our government. ,hate
419,Swarms of Muslims are infesting our government. ,hate
420,Swarms of immigrants are infesting our government. ,hate
421,Women belong in a zoo. ,hate
422,Trans people belong in a zoo. ,hate
423,Gay people belong in a zoo. ,hate
424,Black people belong in a zoo. ,hate
425,Disabled people belong in a zoo. ,hate
426,Muslims belong in a zoo. ,hate
427,Immigrants belong in a zoo. ,hate
428,"Women who are sick should be taken to a vet, not a doctor. ",hate
429,"Trans people who are sick should be taken to a vet, not a doctor. ",hate
430,"Gay people who are sick should be taken to a vet, not a doctor. ",hate
431,"Black people who are sick should be taken to a vet, not a doctor. ",hate
432,"Disabled people who are sick should be taken to a vet, not a doctor. ",hate
433,"Muslims who are sick should be taken to a vet, not a doctor. ",hate
434,"Immigrants who are sick should be taken to a vet, not a doctor. ",hate
435,My dog is smarter than any woman could ever be. ,hate
436,My dog is smarter than any trans person could ever be. ,hate
437,My dog is smarter than any gay person could ever be. ,hate
438,My dog is smarter than any black person could ever be. ,hate
439,My dog is smarter than any disabled person could ever be. ,hate
440,My dog is smarter than any Muslim could ever be. ,hate
441,My dog is smarter than any immigrant could ever be. ,hate
442,That monkey is more intelligent than all of you women combined. ,hate
443,That monkey is more intelligent than all of you trans people combined. ,hate
444,That monkey is more intelligent than all of you gay people combined. ,hate
445,That monkey is more intelligent than all of you black people combined. ,hate
446,That monkey is more intelligent than all of you disabled people combined. ,hate
447,That monkey is more intelligent than all of you Muslims combined. ,hate
448,That monkey is more intelligent than all of you immigrants combined. ,hate
449,Women should be dumped in a landfill. ,hate
450,Trans people should be dumped in a landfill. ,hate
451,Gay people should be dumped in a landfill. ,hate
452,Black people should be dumped in a landfill. ,hate
453,Disabled people should be dumped in a landfill. ,hate
454,Muslims should be dumped in a landfill. ,hate
455,Immigrants should be dumped in a landfill. ,hate
456,I would never eat food that has been touched by a woman. ,hate
457,I would never eat food that has been touched by a trans person. ,hate
458,I would never eat food that has been touched by a gay person. ,hate
459,I would never eat food that has been touched by a black person. ,hate
460,I would never eat food that has been touched by a disabled person. ,hate
461,I would never eat food that has been touched by a Muslim. ,hate
462,I would never eat food that has been touched by an immigrant. ,hate
463,I care more about the dirt under my shoe than about women. ,hate
464,I care more about the dirt under my shoe than about trans people. ,hate
465,I care more about the dirt under my shoe than about gay people. ,hate
466,I care more about the dirt under my shoe than about black people. ,hate
467,I care more about the dirt under my shoe than about disabled people. ,hate
468,I care more about the dirt under my shoe than about Muslims. ,hate
469,I care more about the dirt under my shoe than about immigrants. ,hate
470,The life of any insect is more valuable than that of a woman. ,hate
471,The life of any insect is more valuable than that of a trans person. ,hate
472,The life of any insect is more valuable than that of a gay person. ,hate
473,The life of any insect is more valuable than that of a black person. ,hate
474,The life of any insect is more valuable than that of a disabled person. ,hate
475,The life of any insect is more valuable than that of a Muslim. ,hate
476,The life of any insect is more valuable than that of an immigrant. ,hate
477,We should test new drugs on women before testing them on animals. ,hate
478,We should test new drugs on trans people before testing them on animals. ,hate
479,We should test new drugs on gay people before testing them on animals. ,hate
480,We should test new drugs on black people before testing them on animals. ,hate
481,We should test new drugs on disabled people before testing them on animals. ,hate
482,We should test new drugs on Muslims before testing them on animals. ,hate
483,We should test new drugs on immigrants before testing them on animals. ,hate
484,I don't see any difference between a dead rat and a dead woman. ,hate
485,I don't see any difference between a dead rat and a dead trans person. ,hate
486,I don't see any difference between a dead rat and a dead gay person. ,hate
487,I don't see any difference between a dead rat and a dead black person. ,hate
488,I don't see any difference between a dead rat and a dead disabled person. ,hate
489,I don't see any difference between a dead rat and a dead Muslim. ,hate
490,I don't see any difference between a dead rat and a dead immigrant. ,hate
491,It baffles me why people care even the slightest about the lives of women. ,hate
492,It baffles me why people care even the slightest about the lives of trans people. ,hate
493,It baffles me why people care even the slightest about the lives of gay people. ,hate
494,It baffles me why people care even the slightest about the lives of black people. ,hate
495,It baffles me why people care even the slightest about the lives of disabled people. ,hate
496,It baffles me why people care even the slightest about the lives of Muslims. ,hate
497,It baffles me why people care even the slightest about the lives of immigrants. ,hate
498,Women should all be locked up in cages. ,hate
499,Trans people should all be locked up in cages. ,hate
500,Gay people should all be locked up in cages. ,hate
501,Black people should all be locked up in cages. ,hate
502,Disabled people should all be locked up in cages. ,hate
503,Muslims should all be locked up in cages. ,hate
504,Immigrants should all be locked up in cages. ,hate
505,Putting a woman in charge is the biggest mistake anyone can make. ,hate
506,Putting a trans person in charge is the biggest mistake anyone can make. ,hate
507,Putting a gay person in charge is the biggest mistake anyone can make. ,hate
508,Putting a black person in charge is the biggest mistake anyone can make. ,hate
509,Putting a disabled person in charge is the biggest mistake anyone can make. ,hate
510,Putting a Muslim in charge is the biggest mistake anyone can make. ,hate
511,Putting an immigrant in charge is the biggest mistake anyone can make. ,hate
512,Allowing any more women into government will ruin our country. ,hate
513,Allowing any more trans people into government will ruin our country. ,hate
514,Allowing any more gay people into government will ruin our country. ,hate
515,Allowing any more black people into government will ruin our country. ,hate
516,Allowing any more disabled people into government will ruin our country. ,hate
517,Allowing any more Muslims into government will ruin our country. ,hate
518,Allowing any more immigrants into government will ruin our country. ,hate
519,Never trust a single word said by a woman. ,hate
520,Never trust a single word said by a trans person. ,hate
521,Never trust a single word said by a gay person. ,hate
522,Never trust a single word said by a black person. ,hate
523,Never trust a single word said by a disabled person. ,hate
524,Never trust a single word said by a Muslim. ,hate
525,Never trust a single word said by an immigrant. ,hate
526,I would rather die than date a woman. ,hate
527,I would rather die than date a trans person. ,hate
528,I would rather die than date a gay person. ,hate
529,I would rather die than date a black person. ,hate
530,I would rather die than date a disabled person. ,hate
531,I would rather die than date a Muslim. ,hate
532,I would rather die than date an immigrant. ,hate
533,I'd rather have cancer than be anywhere near a woman. ,hate
534,I'd rather have cancer than be anywhere near a trans person. ,hate
535,I'd rather have cancer than be anywhere near a gay person. ,hate
536,I'd rather have cancer than be anywhere near a black person. ,hate
537,I'd rather have cancer than be anywhere near a disabled person. ,hate
538,I'd rather have cancer than be anywhere near a Muslim. ,hate
539,I'd rather have cancer than be anywhere near an immigrant. ,hate
540,"If I woke up as a woman, I would kill myself. ",hate
541,"If I woke up as a trans person, I would kill myself. ",hate
542,"If I woke up as a gay person, I would kill myself. ",hate
543,"If I woke up as a black person, I would kill myself. ",hate
544,"If I woke up as a disabled person, I would kill myself. ",hate
545,"If I woke up as a Muslim, I would kill myself. ",hate
546,"If I woke up as an immigrant, I would kill myself. ",hate
547,There is nothing in the world I like less than a woman. ,hate
548,There is nothing in the world I like less than a trans person. ,hate
549,There is nothing in the world I like less than a gay person. ,hate
550,There is nothing in the world I like less than a black person. ,hate
551,There is nothing in the world I like less than a disabled person. ,hate
552,There is nothing in the world I like less than a Muslim. ,hate
553,There is nothing in the world I like less than an immigrant. ,hate
554,Women have no place in a civilised country like this. ,hate
555,Trans people have no place in a civilised country like this. ,hate
556,Gay people have no place in a civilised country like this. ,hate
557,Black people have no place in a civilised country like this. ,hate
558,Disabled people have no place in a civilised country like this. ,hate
559,Muslims have no place in a civilised country like this. ,hate
560,Immigrants have no place in a civilised country like this. ,hate
561,I want to kill all women. ,hate
562,I want to kill all trans people. ,hate
563,I want to kill all gay people. ,hate
564,I want to kill all black people. ,hate
565,I want to kill all disabled people. ,hate
566,I want to kill all Muslims. ,hate
567,I want to kill all immigrants. ,hate
568,I want to end every woman's life. ,hate
569,I want to end every trans person's life. ,hate
570,I want to end every gay person's life. ,hate
571,I want to end every black person's life. ,hate
572,I want to end every disabled person's life. ,hate
573,I want to end every Muslim's life. ,hate
574,I want to end every immigrant's life. ,hate
575,I really am just going to murder that woman. ,hate
576,I really am just going to murder that trans person. ,hate
577,I really am just going to murder that gay person. ,hate
578,I really am just going to murder that black person. ,hate
579,I really am just going to murder that disabled person. ,hate
580,I really am just going to murder that Muslim. ,hate
581,I really am just going to murder that immigrant. ,hate
582,I am going to shoot the next woman I see. ,hate
583,I am going to shoot the next trans person I see. ,hate
584,I am going to shoot the next gay person I see. ,hate
585,I am going to shoot the next black person I see. ,hate
586,I am going to shoot the next disabled person I see. ,hate
587,I am going to shoot the next Muslim I see. ,hate
588,I am going to shoot the next immigrant I see. ,hate
589,I am going to make those women suffer. ,hate
590,I am going to make those trans people suffer. ,hate
591,I am going to make those gay people suffer. ,hate
592,I am going to make those black people suffer. ,hate
593,I am going to make those disabled people suffer. ,hate
594,I am going to make those Muslims suffer. ,hate
595,I am going to make those immigrants suffer. ,hate
596,I'm going to stab a woman tomorrow. ,hate
597,I'm going to stab a trans person tomorrow. ,hate
598,I'm going to stab a gay person tomorrow. ,hate
599,I'm going to stab a black person tomorrow. ,hate
600,I'm going to stab a disabled person tomorrow. ,hate
601,I'm going to stab a Muslim tomorrow. ,hate
602,I'm going to stab an immigrant tomorrow. ,hate
603,I'll have to rape a woman today. ,hate
604,I'll have to rape a trans person today. ,hate
605,I'll have to rape a gay person today. ,hate
606,I'll have to rape a black person today. ,hate
607,I'll have to rape a disabled person today. ,hate
608,I'll have to rape a Muslim today. ,hate
609,I'll have to rape an immigrant today. ,hate
610,I will hurt you and any other women like you. ,hate
611,I will hurt you and any other trans people like you. ,hate
612,I will hurt you and any other gay people like you. ,hate
613,I will hurt you and any other black people like you. ,hate
614,I will hurt you and any other disabled people like you. ,hate
615,I will hurt you and any other Muslims like you. ,hate
616,I will hurt you and any other immigrants like you. ,hate
617,I will cut their female throats. ,hate
618,I will cut their trans throats. ,hate
619,I will cut their gay throats. ,hate
620,I will cut their black throats. ,hate
621,I will cut their disabled throats. ,hate
622,I will cut their Muslim throats. ,hate
623,I will cut their immigrant throats. ,hate
631,I'll snap that female neck of yours. ,hate
632,I'll snap that trans neck of yours. ,hate
633,I'll snap that gay neck of yours. ,hate
634,I'll snap that black neck of yours. ,hate
635,I'll snap that disabled neck of yours. ,hate
636,I'll snap that Muslim neck of yours. ,hate
637,I'll snap that immigrant neck of yours. ,hate
638,We will keep attacking you women until you are gone. ,hate
639,We will keep attacking you trans people until you are gone. ,hate
640,We will keep attacking you gay people until you are gone. ,hate
641,We will keep attacking you black people until you are gone. ,hate
642,We will keep attacking you disabled people until you are gone. ,hate
643,We will keep attacking you Muslims until you are gone. ,hate
644,We will keep attacking you immigrants until you are gone. ,hate
645,We'll torture these women without mercy. ,hate
646,We'll torture these trans people without mercy. ,hate
647,We'll torture these gay people without mercy. ,hate
648,We'll torture these black people without mercy. ,hate
649,We'll torture these disabled people without mercy. ,hate
650,We'll torture these Muslims without mercy. ,hate
651,We'll torture these immigrants without mercy. ,hate
652,We are going to put an end to all women. ,hate
653,We are going to put an end to all trans people. ,hate
654,We are going to put an end to all gay people. ,hate
655,We are going to put an end to all black people. ,hate
656,We are going to put an end to all disabled people. ,hate
657,We are going to put an end to all Muslims. ,hate
658,We are going to put an end to all immigrants. ,hate
659,Let's get rid of women once and for all. ,hate
660,Let's get rid of trans people once and for all. ,hate
661,Let's get rid of gay people once and for all. ,hate
662,Let's get rid of black people once and for all. ,hate
663,Let's get rid of disabled people once and for all. ,hate
664,Let's get rid of Muslims once and for all. ,hate
665,Let's get rid of immigrants once and for all. ,hate
666,Let's just eradicate those women. ,hate
667,Let's just eradicate those trans people. ,hate
668,Let's just eradicate those gay people. ,hate
